Date,Attack,Death,Total Attacks,Total Deaths
19-Aug,1,1,1,1
20-Aug,1,0,2,1
21-Aug,1,2,3,3
22-Aug,0,0,3,3
23-Aug,1,0,4,3
24-Aug,1,2,5,5
25-Aug,0,0,5,5
26-Aug,1,0,6,5
27-Aug,1,1,7,6
28-Aug,1,0,8,6
29-Aug,1,1,9,7
30-Aug,8,2,17,9
31-Aug,56,3,73,12
1-Sep,143,70,216,82
2-Sep,116,127,332,209
3-Sep,54,76,386,285
4-Sep,46,71,432,356
5-Sep,36,45,468,401
6-Sep,20,37,488,438
7-Sep,28,32,516,470
8-Sep,12,30,528,500
9-Sep,11,24,539,524
10-Sep,5,18,544,542
11-Sep,5,15,549,557
12-Sep,1,6,550,563
13-Sep,3,13,553,576
14-Sep,0,6,553,582
15-Sep,1,8,554,590
16-Sep,4,6,558,596
17-Sep,2,5,560,601
18-Sep,3,2,563,603
19-Sep,0,3,563,606
20-Sep,0,0,563,606
21-Sep,2,0,565,606
22-Sep,1,2,566,608
23-Sep,1,3,567,611
24-Sep,1,0,568,611
25-Sep,1,0,569,611
26-Sep,1,2,570,613
27-Sep,1,0,571,613
28-Sep,0,2,571,615
29-Sep,0,1,571,616
